City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Maningrida,AU,2022-02-09 23:28:03,-12.0667,134.2667,81.16,81,78,8.28
245,Lompoc,US,2022-02-09 23:25:05,34.6391,-120.4579,86.31,18,0,11.5
246,Long Beach,US,2022-02-09 23:27:43,33.767,-118.1892,90.25,19,0,13.8
247,Athens,GR,2022-02-09 23:23:37,37.9795,23.7162,51.17,65,40,6.91
248,Victoria Point,AU,2022-02-09 23:28:04,-27.5833,153.3,82.18,62,0,5.01
249,Esperantina,BR,2022-02-09 23:28:05,-3.9017,-42.2336,74.52,95,98,4.81
250,Kashi,CN,2022-02-09 23:28:05,39.4547,75.9797,27.61,59,75,6.71
251,Zhezkazgan,KZ,2022-02-09 23:28:06,47.8043,67.7144,16.81,97,100,4.59
252,Rossosh,RU,2022-02-09 23:28:06,51.1209,38.5116,28.99,97,92,7.43
253,Svetlogorsk,BY,2022-02-09 23:28:07,52.6333,29.7333,32.88,98,100,12.17
254,Thanh Hoa,VN,2022-02-09 23:23:13,19.8,105.7667,61.79,92,100,2.53
255,Fort Saint James,CA,2022-02-09 23:28:08,54.4333,-124.25,46.8,87,100,13.69
256,Madang,PG,2022-02-09 23:28:08,-5.2246,145.7966,80.94,83,90,4.47
257,Tarija,BO,2022-02-09 23:28:09,-21.5355,-64.7296,60.71,100,100,6.91
258,Ulaangom,MN,2022-02-09 23:28:09,49.9811,92.0667,-18.54,99,100,0.67
259,Haines City,US,2022-02-09 23:27:59,28.1142,-81.6179,64.36,43,0,5.75
260,Tikrit,IQ,2022-02-09 23:28:10,34.6071,43.6782,58.17,45,59,19.69
261,Guiong,PH,2022-02-09 23:28:10,6.4186,122.0258,76.82,88,100,5.19
262,San Cristobal,VE,2022-02-09 23:28:11,7.7669,-72.225,75.38,73,84,1.45
263,Bongandanga,CD,2022-02-09 23:28:11,1.5,21.05,74.41,33,100,2.53
264,North Bend,US,2022-02-09 23:28:12,43.4065,-124.2243,72.25,74,0,21.85
265,Cherskiy,RU,2022-02-09 23:28:12,68.75,161.3,-45.08,100,85,5.19
266,Cap-Haitien,HT,2022-02-09 23:28:13,19.7578,-72.2042,77.34,78,0,6.49
267,Rach Gia,VN,2022-02-09 23:28:13,10.0167,105.0833,76.95,84,86,5.7
268,Mehamn,NO,2022-02-09 23:28:14,71.0357,27.8492,18.59,88,48,12.91
269,Pandamatenga,BW,2022-02-09 23:28:14,-18.5278,25.627,65.75,89,7,4.99
270,Codrington,AU,2022-02-09 23:28:15,-38.2667,141.9667,66.34,56,46,11.3
271,Daru,PG,2022-02-09 23:25:58,-9.0763,143.2092,82.15,83,95,6.64
272,Erzin,TR,2022-02-09 23:28:15,36.9559,36.2,45.12,87,97,3.8
273,Najran,SA,2022-02-09 23:29:16,17.4924,44.1277,52.45,32,0,1.14
274,Sakakah,SA,2022-02-09 23:29:16,29.9697,40.2064,56.77,37,40,12.44
275,Tamasane,BW,2022-02-09 23:29:17,-22.4184,27.4013,77.11,49,94,2.39
276,Yerofey Pavlovich,RU,2022-02-09 23:29:17,53.9667,121.9667,-6.92,95,99,2.48
277,Cayenne,GF,2022-02-09 23:29:18,4.9333,-52.3333,75.24,91,52,2.3
